wavelength,throughput
600.0000000,0.0041736
610.0386100,0.0053422
611.5830116,0.0158598
612.3552124,0.0275459
616.2162162,0.3290484
619.3050193,0.3360601
623.9382239,0.3407346
627.7992278,0.3477462
631.6602317,0.3547579
635.5212355,0.3606010
639.3822394,0.3664441
644.0154440,0.3734558
648.6486486,0.3792988
653.2818533,0.3863105
657.1428571,0.3909850
661.0038610,0.3968280
664.8648649,0.4015025
669.4980695,0.4073456
673.3590734,0.4120200
677.9922780,0.4166945
683.3976834,0.4213689
688.8030888,0.4260434
693.4362934,0.4295492
698.0694981,0.4330551
703.4749035,0.4377295
708.8803089,0.4424040
714.2857143,0.4470785
718.9189189,0.4494157
724.3243243,0.4517529
729.7297297,0.4540902
735.9073359,0.4564274
740.5405405,0.4575960
745.1737452,0.4599332
750.5791506,0.4622705
755.9845560,0.4622705
761.3899614,0.4611018
769.1119691,0.4599332
775.2895753,0.4575960
780.6949807,0.4552588
786.8725869,0.4529215
791.5057915,0.4505843
798.4555985,0.4482471
803.8610039,0.4459098
810.0386100,0.4400668
815.4440154,0.4353923
821.6216216,0.4307179
826.2548263,0.4260434
830.8880309,0.4202003
833.9768340,0.4155259
837.8378378,0.4096828
841.6988417,0.4038397
846.3320463,0.3979967
850.1930502,0.3921536
854.0540541,0.3863105
857.9150579,0.3804674
861.7760618,0.3734558
865.6370656,0.3664441
867.9536680,0.3606010
871.0424710,0.3535893
874.9034749,0.3454090
877.9922780,0.3383973
881.0810811,0.3325543
884.9420849,0.3243740
888.0308880,0.3173623
891.1196911,0.3103506
894.2084942,0.3033389
897.2972973,0.2974958
900.3861004,0.2904841
904.2471042,0.2823038
908.1081081,0.2729549
911.1969112,0.2659432
915.0579151,0.2577629
918.1467181,0.2495826
921.2355212,0.2425710
923.5521236,0.2355593
927.4131274,0.2273790
930.5019305,0.2203673
933.5907336,0.2121870
936.6795367,0.2040067
939.7683398,0.1969950
942.8571429,0.1888147
946.7181467,0.1806344
949.8069498,0.1724541
952.8957529,0.1642738
955.9845560,0.1572621
959.0733591,0.1502504
962.9343629,0.1409015
966.0231660,0.1327212
969.1119691,0.1257095
972.2007722,0.1186978
974.5173745,0.1116861
976.8339768,0.1070117
979.9227799,0.1011686
983.7837838,0.0953255
987.6447876,0.0883139
992.2779923,0.0801336
995.3667954,0.0742905
998.4555985,0.0684474
1001.5444015,0.0626043
1004.6332046,0.0567613
1009.2664093,0.0497496
1013.8996139,0.0439065
1018.5328185,0.0380634
1022.3938224,0.0333890
1027.0270270,0.0275459
1029.3436293,0.0228715
1034.7490347,0.0193656
1040.1544402,0.0158598
1046.3320463,0.0123539
1050.9652510,0.0100167
1056.3706564,0.0076795
1062.5482625,0.0065109
1069.4980695,0.0053422
1079.5366795,0.0041736
1096.5250965,0.0000000
