wavelength,throughput
246.3320463,0.0000000
248.6486486,0.0065109
250.9652510,0.0135225
252.5096525,0.0205342
254.0540541,0.0263773
255.5984556,0.0322204
257.1428571,0.0392321
259.4594595,0.0450751
262.5482625,0.0509182
265.6370656,0.0567613
268.7258687,0.0614357
271.0424710,0.0672788
274.1312741,0.0731219
276.4478764,0.0789649
278.7644788,0.0848080
281.0810811,0.0906511
282.6254826,0.0964942
284.9420849,0.1023372
287.2586873,0.1081803
289.5752896,0.1140234
291.8918919,0.1198664
294.2084942,0.1245409
296.5250965,0.1303840
298.0694981,0.1350584
299.6138996,0.1397329
301.9305019,0.1444073
305.0193050,0.1490818
307.3359073,0.1525876
308.8803089,0.1560935
311.1969112,0.1607679
314.2857143,0.1654424
316.6023166,0.1701169
318.9189189,0.1747913
322.0077220,0.1794658
325.0965251,0.1806344
327.4131274,0.1794658
328.1853282,0.1841402
329.7297297,0.1888147
332.8185328,0.1923205
335.9073359,0.1934891
338.9961390,0.1946578
341.3127413,0.1981636
342.8571429,0.2028381
343.6293436,0.2005008
345.1737452,0.2040067
345.9459459,0.2005008
346.7181467,0.1969950
348.2625483,0.2005008
349.8069498,0.2040067
351.3513514,0.2016694
353.6679537,0.2016694
355.9845560,0.2051753
358.3011583,0.2075125
359.8455598,0.2086811
360.6177606,0.2063439
361.3899614,0.2040067
362.1621622,0.2063439
362.9343629,0.2086811
363.7065637,0.2051753
364.4787645,0.2016694
366.0231660,0.2028381
366.7953668,0.2051753
367.5675676,0.2040067
369.1119691,0.2028381
369.8841699,0.2051753
370.6563707,0.2086811
371.4285714,0.2075125
372.9729730,0.2051753
373.7451737,0.2086811
374.5173745,0.2121870
375.2895753,0.2145242
376.0617761,0.2168614
376.8339768,0.2191987
378.3783784,0.2203673
379.1505792,0.2180301
380.6949807,0.2156928
382.2393822,0.2156928
383.7837838,0.2180301
384.5559846,0.2203673
385.3281853,0.2238731
386.1003861,0.2262104
386.8725869,0.2250417
387.6447876,0.2227045
388.4169884,0.2250417
389.1891892,0.2285476
389.9613900,0.2273790
389.9813900,0.2250417
390.7335907,0.2215359
391.5057915,0.2238731
392.2779923,0.2273790
393.8223938,0.2285476
395.3667954,0.2297162
396.1389961,0.2332220
396.9111969,0.2367279
397.6833977,0.2402337
400.0000000,0.2414023
402.3166023,0.2437396
404.6332046,0.2472454
406.9498069,0.2507513
409.2664093,0.2542571
410.0386100,0.2472454
410.2386100,0.2367279
411.5830116,0.2051753
413.1274131,0.1303840
413.8996139,0.0906511
414.6718147,0.0532554
414.8718147,0.0392321
415.4440154,0.0287145
416.9884170,0.0275459
417.7606178,0.0228715
420.8494208,0.0000000
