wavelength,throughput
377.6061776,0.0000000
384.5559846,0.0018364
391.5057915,0.0041736
393.8223938,0.0427379
396.9111969,0.1981636
397.6833977,0.2133556
399.2277992,0.2191987
400.7722008,0.2262104
402.3166023,0.2332220
404.6332046,0.2414023
406.1776062,0.2472454
408.4942085,0.2565943
410.8108108,0.2647746
413.1274131,0.2729549
415.4440154,0.2823038
418.5328185,0.2904841
420.8494208,0.2986644
423.1660232,0.3068447
426.2548263,0.3150250
429.3436293,0.3255426
433.2046332,0.3360601
437.0656371,0.3477462
441.6988417,0.3594324
445.5598456,0.3699499
449.4208494,0.3804674
454.0540541,0.3909850
457.9150579,0.4003339
462.5482625,0.4096828
464.8648649,0.4155259
466.4092664,0.4202003
468.7258687,0.4237062
472.5868726,0.4295492
476.4478764,0.4353923
479.5366795,0.4388982
484.1698842,0.4435726
488.8030888,0.4470785
494.2084942,0.4517529
499.6138996,0.4552588
505.0193050,0.4564274
510.4247104,0.4587646
516.6023166,0.4599332
522.0077220,0.4599332
526.6409266,0.4599332
531.2741313,0.4587646
537.4517375,0.4564274
543.6293436,0.4540902
549.8069498,0.4517529
555.9845560,0.4494157
562.9343629,0.4470785
568.3397683,0.4435726
572.9729730,0.4400668
579.1505792,0.4353923
583.7837838,0.4318865
589.1891892,0.4272120
593.8223938,0.4225376
598.4555985,0.4190317
603.8610039,0.4143573
609.2664093,0.4085142
615.4440154,0.4038397
620.8494208,0.3991653
626.2548263,0.3944908
631.6602317,0.3898164
637.0656371,0.3851419
641.6988417,0.3804674
647.1042471,0.3757930
651.7374517,0.3711185
653.2818533,0.3641068
654.8262548,0.3570952
658.6872587,0.0158598
659.4594595,0.0041736
661.7760618,0.0000000
